Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,Jan,2115,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Jan,2115,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
1,Jan,15,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
2,Jan,2315,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jan,1145,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Jan,1145,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Jan,1145,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Jan,1530,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,MIDDLE-AGED,Car
2,Jan,820,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
4,Jan,1754,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
4,Jan,1754,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Jan,1650,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Jan,829,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Jan,1205,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jan,1205,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Jan,1205,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
3,Jan,1148,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,Jan,1148,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,YOUNG,Car
2,Jan,1317,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Jan,2350,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
2,Jan,1540,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 500cc
2,Jan,1640,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Jan,900,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Motorcycle over 500cc
1,Jan,1219,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
2,Jan,1250,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Jan,1638,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Passenger,Slight,Male,YOUNG,Car
2,Jan,1638,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Jan,1833,Snow,Darkness: street lights present and lit,Snowing with high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
1,Jan,1833,Snow,Darkness: street lights present and lit,Snowing with high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Jan,1833,Snow,Darkness: street lights present and lit,Snowing with high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,Jan,2300,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jan,2320,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
3,Jan,748,Snow,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Jan,915,Snow,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Jan,936,Wet / Damp,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jan,1035,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1035,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,MIDDLE-AGED,Car
2,Jan,1035,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Jan,1203,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Jan,1523,Snow,Daylight: street lights present,Snowing without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
2,Jan,1230,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 7.5 tonnes mgw and over
2,Jan,1539,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Jan,1539,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,Jan,1530,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,MIDDLE-AGED,Car
1,Jan,1530,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
1,Jan,1750,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Car
2,Jan,2330,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Taxi/Private hire car
2,Jan,2330,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Taxi/Private hire car
2,Jan,857,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Car
2,Jan,857,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Jan,1945,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Jan,1532,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
