Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,May,1700,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,May,1700,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,May,1700,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,May,1800,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,May,1510,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,May,1510,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,May,2245,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 50cc and up to 125cc
1,May,1500,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,May,1545,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Goods vehicle 7.5 tonnes mgw and over
2,May,1625,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,May,1544,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
3,May,1809,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,May,1809,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,May,1805,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 500cc
1,May,1922,Wet / Damp,Daylight: street lights present,Other,Driver/Rider,Serious,Male,SENIOR CITIZEN,Goods vehicle 7.5 tonnes mgw and over
2,May,1040,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,May,1058,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,May,1350,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,May,1632,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,May,1740,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,1740,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Car
1,May,1220,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,May,2030,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,May,400,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
2,May,400,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
1,May,835,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,May,1150,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Car
1,May,1335,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Car
1,May,1605,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,May,1950,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
1,May,828,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,May,1017,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,May,1020,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,May,1350,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
1,May,1455,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 500cc
2,May,1517,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Jun,350,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Jun,1230,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Jun,1230,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
1,May,700,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Jun,1730,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
4,Jun,739,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
4,Jun,739,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Jun,810,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
2,Jun,800,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Jun,1748,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,1748,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jun,1830,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,1830,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,857,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Jun,2035,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Taxi/Private hire car
2,Jun,2035,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Taxi/Private hire car
2,Jun,2035,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,SENIOR CITIZEN,Taxi/Private hire car
2,Jun,2035,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jun,2155,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 500cc
1,Jun,740,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,Jun,826,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,826,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Jun,1003,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,May,632,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
2,Jun,1214,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Pedal cycle
2,Jun,1444,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Jun,1800,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Jun,1837,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Goods vehicle 7.5 tonnes mgw and over
1,Jun,1940,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
3,Jun,1330,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
3,Jun,1330,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
3,Jun,1330,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
3,Jun,1330,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Jun,1522,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
1,Jun,1330,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
1,Jun,1736,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,Jun,1847,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
1,Jun,410,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
1,Jun,430,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
2,Jun,1412,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,1412,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,1412,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Jun,1515,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Jun,1624,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Jun,2100,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Car
2,Jun,1818,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
2,Jun,1853,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
2,Jun,1135,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
3,Jun,1702,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
1,Jun,2015,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,SENIOR CITIZEN,Car
2,Jun,722,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 500cc
2,Jun,751,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Jun,820,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
1,Jun,950,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,SENIOR CITIZEN,Car
1,Jun,1326,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Jun,1428,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Jun,1430,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
1,Jun,1645,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Minibus (8 � 16 passenger seats)
2,Jun,1510,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,Jun,1750,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,1917,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jun,1917,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Jun,1917,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Jun,1917,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
1,Jun,1850,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
2,Jun,1520,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Pedal cycle
3,Jun,1755,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,Jun,1755,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,Jun,1755,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
4,Jun,1808,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
4,Jun,1808,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,1920,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Goods vehicle 7.5 tonnes mgw and over
2,Jun,1920,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
1,Jun,2115,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Jun,1041,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Bus or coach (17 or more passenger seats)
1,Jun,1230,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Jun,1600,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,Jun,1700,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
3,Jun,1730,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,Jun,1730,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Jun,1030,Dry,Daylight: street lights present,Unknown,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,1030,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Jun,2110,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,2030,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
1,Jun,725,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 500cc
3,Jun,1255,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 7.5 tonnes mgw and over
2,Jun,1311,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,Jun,1430,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,1714,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Jun,1926,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
1,Jun,1926,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
1,Jun,30,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Jun,200,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Taxi/Private hire car
1,Jun,1240,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Jun,1301,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Jun,1431,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Jun,1600,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,Jun,1620,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 500cc
2,Jun,1725,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jun,1725,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Jun,1745,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Jun,1414,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,Jun,1414,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
3,Jun,1603,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Jun,2015,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,Jun,720,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jun,820,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Jun,836,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Jun,1250,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Motorcycle over 125cc and up to 500cc
